symbol,origin,name
ABX,US,Barrick Gold Corp
NEM,US,Newmont Mining Corp
GG,US,Goldcorp Inc
NCM,AU,Newcrest Mining Ltd
FNV,US,Franco-Nevada Corp
AEM,US,Agnico Eagle Mines Ltd
SLW,US,Silver Wheaton Corp
GOLD,US,Randgold Resources Ltd
AU,US,Anglogold Ashanti Ltd
KGC,US,Kinross Gold Corp
RGLD,US,Royal Gold Inc
BVN,US,Cia De Minas Buenaventura Saa
TAHO,US,Tahoe Resources Inc
AUY,US,Yamana Gold Inc
GFI,US,Gold Fields Ltd
DGC,CN,Detour Gold Corp
SBGL,US,Sibanye Gold Ltd
EVN,AU,Evolution Mining Ltd
EGO,US,Eldorado Gold Corp
BTG,US,B2gold Corp
PAAS,US,Pan American Silver Corp
AGI,US,Alamos Gold Inc
HL,US,Hecla Mining Co
CEY,LN,Centamin Plc
NGD,US,New Gold Inc
OGC,AU,Oceanagold Corp
IGO,AU,Independence Group Nl
IAG,US,Iamgold Corp
NST,AU,Northern Star Resources Ltd
CDE,US,Coeur Mining Inc
2899,HK,Zijin Mining Group Co Ltd
EDV,CN,Endeavour Mining Corp
TXG,CN,Torex Gold Resources Inc
HMY,US,Harmony Gold Mining Co Ltd
CG,CN,Centerra Gold Inc
AG,US,First Majestic Silver Corp
SMF,CN,Semafo Inc
SSRI,US,Silver Standard Resources Inc
RRL,AU,Regis Resources Ltd
OR,CN,Osisko Gold Royalties Ltd
MUX,US,Mcewen Mining Inc
SBM,AU,St Barbara Ltd
GUY,CN,Guyana Goldfields Inc
FVI,CN,Fortuna Silver Mines Inc
KLDX,US,Klondex Mines Ltd
RSG,AU,Resolute Mining Ltd
1818,HK,Zhaojin Mining Industry Co Ltd
AKG,US,Asanko Gold Inc
SAR,AU,Saracen Mineral Holdings Ltd
SAND,US,Sandstorm Gold Ltd
KLG,CN,Kirkland Lake Gold Inc
ASR,CN,Alacer Gold Corp
,,Other/Cash
