,ABX,AEM,AG,AGI,ASR.TO,AU,AUY,BCM.V,BSX.TO,BTG,CDE,CG.TO,DRD,DRGDF,EDV.TO,EGO,FNV,FSM,GFI,GOLD,GORO,GG,GSS,GQM.TO,GUYFF,HL,HMY,IAG,KGC,KL.TO,KLDX,MAG,MDRPF,NCMGY,NEM,NGD,PAAS,PPP,RGLD,ROGFF,SA,SAND,SBGL,SMF.TO,SBB.TO,SLW,SSRI,SVM.TO,TAHO,TGD,TMR.TO,TXG.TO
2007-01-03,25743.49881,4706.47884,0,0,0,0,0,0,0,0,1331.62,2377.201823,281.2488,0,0,1787.58932,123,0,123,0,40.4286,19215.89166,0,60.0125522,0,892.78452,6087.6909,2490.13188,4141.53152,0,39.7547355,0,0,0,18672.732,0,1869.50673,0,802.53397,0,0,0,NaN,0,0,2198.80374,1856.3093,700.8719997,0,0,0,0
2007-01-04,25570.89741,4569.83133,0,0,0,0,0,0,0,0,1287.14,2354.84271,270.19974,0,0,1743.24073,123,0,123,0,40.4286,18583.32756,582.56688,57.8564126,490.72166,889.19904,5908.2894,2437.52346,3931.19104,0,40.39191,0,NaN,0,18588.24,0,1838.31024,0,782.00458,2.5424,0,0,NaN,0,0,2117.2032,1803.9408,682.9778891,0,0,0,0
2007-01-05,25458.7065,4527.50688,0,0,0,0,0,0,0,0,1242.66,2330.213088,261.1596,0,0,1760.29788,123,0,123,0,38.0781,18042.13383,592.89608,58.59075,475.94118,884.4184,5689.3063,2431.67808,4025.4816,0,40.527,0,NaN,0,18440.379,0,1817.00532,0,759.58743,NaN,0,0,NaN,0,0,2079.71106,1760.1977,664.9822722,0,0,0,0
2007-01-08,25337.88552,4600.06308,0,0,0,0,0,0,0,0,1242.66,2330.213088,281.2488,0,0,1814.88076,123,0,123,0,34.08225,18189.73212,597.02776,58.5516895,480.550356,879.63776,5597.6076,2466.75036,4047.24096,0,39.437274,0,NaN,0,18098.1864,0,1823.85333,0,753.21624,NaN,0,0,NaN,0,0,2075.30022,1785.4578,668.9700197,0,0,0,0
2007-01-09,25363.77573,4504.53075,0,0,0,0,0,0,0,0,1167.6,2255.783624,271.87384,0,0,1804.64647,123,0,123,0,33.3771,17887.50705,605.29112,56.325241,470.6416,855.73456,5366.3674,2463.82767,4137.90496,0,40.4301855,0,NaN,0,18153.1062,0,1784.28705,0,740.9458,2.28816,0,0,NaN,0,0,1995.9051,1753.4206,663.3726723,0,0,0,0
2007-01-10,25009.94286,4390.85937,0,0,0,0,0,0,0,0,1184.28,2255.783624,268.19082,0,0,1784.17789,123,0,123,0,33.8472,17613.39594,588.7644,60.4969024,458.0004,836.612,5218.8521,2449.21422,4069.00032,0,40.0294185,0,NaN,0,17899.6302,0,1791.89595,0,725.37178,NaN,0,0,NaN,0,0,2033.39724,1731.241,656.600752,0,0,0,0
2007-01-11,24889.12188,4448.90433,0,0,0,0,0,0,0,0,1187.06,2257.03781,274.21758,0,0,1736.41787,123,0,123,0,36.90285,17697.73782,586.69856,58.0829635,472.1002,795.97656,5270.6818,2425.8327,4166.91744,0,38.8451295,0,NaN,0,17962.9992,0,1807.87464,0,730.79909,NaN,0,0,NaN,0,0,2108.38152,1773.7519,648.4512462,0,0,0,0
2007-01-12,25242.95475,4641.17826,0,0,0,0,0,0,0,0,1237.1,2257.03781,288.61484,0,0,1835.34934,123,0,123,0,37.608,18407.61531,607.35696,58.3485749,476.476,812.7088,5374.3412,2513.5134,4355.49856,0,40.0767,0,NaN,0,18254.4966,0,1891.57254,0,757.109745,2.28816,0,0,NaN,0,0,2165.72244,1851.9966,672.0007078,0,0,0,0
2007-01-16,25035.83307,4573.45914,0,0,0,0,0,0,0,0,1195.4,2313.324822,274.87824,0,0,1876.2865,123,0,123,0,35.2575,18049.16232,609.4228,58.3485749,473.0726,807.92816,5262.708,2528.12685,4442.536,0,41.134905,0,NaN,0,17984.1222,0,1902.98589,0,739.76595,3.3369,0,0,NaN,0,0,2112.79236,1826.1204,683.9639503,0,0,0,0
2007-01-17,24923.64216,4580.71476,0,0,0,0,0,0,0,0,1223.2,2366.368249,267.4308,0,0,1845.58363,123,0,123,0,33.3771,18267.04551,615.62032,59.528202,475.9898,817.48944,5262.708,2528.12685,4515.0672,0,43.7308845,0,NaN,0,18072.8388,0,1931.13882,0,745.19326,3.43224,0,0,NaN,0,0,2167.92786,1847.6839,679.8166929,0,0,0,0
