,ABX,AEM,AG,AGI,ASR.TO,AU,AUY,BCM.V,BSX.TO,BTG,CDE,CG.TO,DRD,DRGDF,EDV.TO,EGO,FNV,FSM,GFI,GOLD,GORO,GG,GSS,GQM.TO,GUYFF,HL,HMY,IAG,KGC,KL.TO,KLDX,MAG,MDRPF,NCMGY,NEM,NGD,PAAS,PPP,RGLD,ROGFF,SA,SAND,SBGL,SMF.TO,SBB.TO,SLW,SSRI,SVM.TO,TAHO,TGD,TMR.TO,TXG.TO
1/3/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1/4/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1/5/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,0,-0.01,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN
1/8/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/9/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0.01,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/10/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/11/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0.01,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/12/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.01,0,0,0.02,0.01,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/16/2007,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.01,0,0,0.01,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/17/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.01,0,0,0.01,0.01,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/18/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0,0,0,0.02,0,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/19/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.01,0,0,0.02,0.01,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/22/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.01,0,0,0.02,0.01,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/23/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.02,0,0,0.02,0.01,0,0,NaN,0,NaN,NaN,NaN,0.01,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/24/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.02,0,0,0.02,0.01,0,0,NaN,0,NaN,NaN,NaN,0.01,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/25/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.02,0,0,0.02,0.01,0,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/26/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0,0.02,0,0,0.02,0.01,0.01,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/29/2007,0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0,0,NaN,NaN,0,NaN,NaN,NaN,NaN,0,0.02,0.01,0,0,0.01,0.01,0.01,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,NaN,NaN
1/30/2007,-0.01,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03,0,0.02,NaN,NaN,0,NaN,NaN,NaN,NaN,-0.01,0.02,0.09,0,0,0.02,0.01,-0.07,0,NaN,0,NaN,NaN,NaN,0,NaN,0.01,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,-1.16,NaN,NaN
1/31/2007,-0.08,0,NaN,0,NaN,0,0,NaN,NaN,NaN,0.08,0,0.02,NaN,NaN,0.04,NaN,NaN,NaN,NaN,-0.01,0.09,0.09,0,0,0.01,0.02,-0.07,0,NaN,0,NaN,NaN,0,0.03,NaN,0.01,NaN,0.01,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,NaN
2/1/2007,-0.07,0,NaN,0,NaN,0,0,NaN,NaN,NaN,0.08,0,0.02,NaN,NaN,0.04,NaN,NaN,NaN,NaN,-0.01,0.08,0.09,0,0,0.01,0.01,-0.04,0,NaN,0,NaN,NaN,0,0.03,NaN,0.01,NaN,0.01,NaN,NaN,NaN,NaN,0.02,NaN,-0.01,0,0,NaN,NaN,NaN,NaN
2/2/2007,-0.07,0,NaN,0,NaN,0,0,NaN,NaN,NaN,0.07,0,0.02,NaN,NaN,0.04,NaN,NaN,NaN,NaN,0,0.08,0.08,0,0,0,0,-0.04,0,NaN,0,NaN,NaN,0,0.03,NaN,0.01,NaN,0.01,NaN,NaN,NaN,NaN,0.01,NaN,-0.01,0,0,NaN,NaN,NaN,NaN
2/5/2007,-0.07,0,NaN,0,NaN,0,0,NaN,NaN,NaN,0.07,0,0.02,NaN,NaN,0.03,NaN,NaN,NaN,NaN,0,0.08,0.08,0,0,0,0,-0.04,0,NaN,0,NaN,NaN,0,0.03,NaN,0.01,NaN,0.01,NaN,NaN,NaN,NaN,0.01,NaN,-0.01,0,0,NaN,NaN,NaN,NaN
